UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
138284,31,"51.3901","A",.,"A",.,"R",1350,1,"R",11,"R",45,"R",900,"R",30,"R",3773,"R",3773,"R",3890,"R",3890,"R",1085,"R",1085,"R",1228,"R",1085,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",19800,"R",19800,"R",19800,"R",19418,"R",2250,"R",2250,"R",2250,"R",2250,"R",2250,"R",2250,"R",2250,"R",2250,"48.0508","R",3732,"R",910,"R",1050,1,"R",8,"12.0401","R",3457,"R",820,"R",1200,1,"R",9,"46.0302","R",4324,"R",728,"R",1500,1,"R",12,"15.1301","R",4336,"R",360,"R",1500,1,"R",12,"43.0102","R",1445,"R",414,"R",420,1,"R",4,
138372,18,"12.0401","A",.,"A",.,"R",1200,1,"R",10,"R",40,"R",900,"R",30,"R",3507,"R",3653,"R",3653,"R",3653,"R",1623,"R",1979,"R",1979,"R",2038,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16400,"R",17240,"R",17750,"R",18280,"R",5920,"R",4970,"R",5120,"R",5240,"R",5920,"R",4970,"R",5120,"R",5240,"51.0801","R",4004,"R",1638,"R",1300,1,"R",11,"12.0408","R",812,"R",1645,"R",260,1,"R",2,"51.3501","R",2254,"R",1925,"R",750,1,"R",6,"01.8301","R",2254,"R",2248,"R",750,1,"R",6,"48.0508","R",3178,"R",2731,"R",1050,1,"R",9,
138479,32,"51.3901","A",.,"A",.,"R",1350,1,"R",11,"R",45,"R",900,"R",30,"R",4288,"R",4455,"R",4455,"R",4556,"R",1350,"R",1138,"R",1138,"R",1154,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12150,"R",17460,"R",17460,"R",17865,"R",5198,"R",6300,"R",6300,"R",6300,"R",4646,"R",3938,"R",3938,"R",6300,"50.0411","R",1925,"R",233,"R",600,1,"R",6,"43.0203","R",2147,"R",528,"R",398,1,"R",3,"12.0503","R",3735,"R",665,"R",1200,1,"R",12,"51.0904","R",1238,"R",275,"R",300,1,"R",3,"15.1301","R",4675,"R",506,"R",1500,1,"R",14,
138488,17,"51.0801","A",.,"A",.,"R",1300,1,"R",11,"R",45,"R",900,"R",36,"R",4673,"R",4280,"R",4200,"R",4544,"R",1033,"R",1055,"R",852,"R",857,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",20228,"R",17145,"R",16583,"R",17370,"R",19384,"R",20441,"R",19530,"R",19665,"R",19384,"R",20441,"R",19530,"R",19665,"11.1001","R",3156,"R",963,"R",1050,1,"R",12,"51.0805","R",3505,"R",2240,"R",1050,1,"R",12,"11.0801","R",3198,"R",235,"R",1050,1,"R",12,"51.1011","R",1991,"R",707,"R",600,1,"R",8,"51.0707","R",3358,"R",1419,"R",1110,1,"R",12,
138497,20,"43.0107","A",.,"A",.,"R",770,1,"R",6,"R",24,"R",900,"R",30,"R",3141,"R",3221,"R",3233,"R",3275,"R",510,"R",526,"R",528,"R",528,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3150,"R",3618,"R",3690,"R",3690,"R",4614,"R",4614,"R",4614,"R",4614,"R",4614,"R",4614,"R",4614,"R",4614,"48.0508","R",4871,"R",885,"R",1050,1,"R",9,"51.3901","R",5172,"R",1300,"R",1350,1,"R",10,"12.0401","R",4684,"R",265,"R",1200,1,"R",9,"46.0302","R",4289,"R",790,"R",1200,1,"R",9,"43.0102","R",2023,"R",475,"R",420,1,"R",3,
138822,5,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",19700,"R",19700,"R",19700,"R",19700,"R",250,"R",250,"R",250,"R",250,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8263,"R",8263,"R",8263,"R",8263,"R",1875,"R",1875,"R",1875,"R",1875,"R",1875,"R",1875,"R",1875,"R",1875,"12.0409","R",16509,"R",250,"R",1000,1,"R",12,"51.3501","R",12840,"R",250,"R",750,1,"R",10,"12.0410","R",10409,"R",250,"R",620,1,"R",6,"12.0413","R",3750,"R",250,"R",750,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
138938,3,"12.0409","A",.,"A",.,"R",1000,1,"R",9,"R",36,"R",900,"R",34,"R",14454,"R",14439,"R",14439,"R",14439,"R",995,"R",1010,"R",1010,"R",1010,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13608,"R",13545,"R",12798,"R",13284,"R",7425,"R",7164,"R",7020,"R",7263,"R",7902,"R",5535,"R",5211,"R",5490,"51.3501","R",12794,"R",200,"R",750,1,"R",8,"31.0507","R",9190,"R",710,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
139506,2,"12.0401","A",.,"A",.,"R",1500,1,"R",14,"R",56,"R",900,"R",30,"R",19860,"R",19860,"R",19860,"R",19860,"R",125,"R",125,"R",125,"R",125,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",14000,"R",14000,"R",15400,"R",15400,"R",3500,"R",3500,"R",4200,"R",4200,"R",3500,"R",3500,"R",4200,"R",4200,"12.0402","R",19860,"R",125,"R",1500,1,"R",14,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
141015,5,"50.0401","A",.,"A",.,"R",96,2,"R",20,"R",80,"R",36,"R",36,"R",46112,"R",46112,"R",46112,"R",46112,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",21140,"R",21140,"R",20800,"R",21220,"R",18000,"R",18000,"R",22760,"R",23220,"R",14380,"R",14380,"R",22760,"R",23220,"23.1301","R",46112,"A",.,"R",96,2,"R",20,"50.0409","R",46112,"A",.,"R",96,2,"R",20,"50.0406","R",46112,"A",.,"R",96,2,"R",20,"11.0801","R",46112,"A",.,"R",96,2,"R",20,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
141608,1,"12.0402","A",.,"A",.,"R",1500,1,"R",12,"R",49,"R",900,"R",26,"R",13237,"R",13237,"R",13237,"R",13237,"R",975,"R",975,"R",975,"R",975,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",22589,"R",31042,"R",24941,"R",17922,"R",11062,"R",13328,"R",10119,"R",7607,"R",8636,"R",6211,"R",7767,"R",2879,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
142054,9,"51.3801","A",.,"A",.,"R",72,2,"R",24,"R",96,"R",36,"R",36,"R",22490,"R",22495,"R",22495,"R",22495,"R",1199,"R",1469,"R",1469,"R",1469,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",39600,"R",41400,"R",41400,"R",43200,"R",11088,"R",11304,"R",11328,"R",13200,"R",11088,"R",11304,"R",11328,"R",13200,"51.0801","R",14763,"R",715,"R",36,2,"R",8,"51.0602","R",54990,"R",5867,"R",83,2,"R",17,"51.3901","R",30261,"R",1420,"R",41,2,"R",11,"51.0601","R",14614,"R",670,"R",38,2,"R",8,"51.3501","R",13297,"R",1180,"R",35,2,"R",8,
142407,5,"12.0401","A",.,"A",.,"R",1600,1,"R",11,"R",43,"R",1000,"R",27,"R",14500,"R",15500,"R",15500,"R",16588,"R",2909,"R",2909,"R",2912,"R",2912,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13749,"R",11331,"R",12771,"R",13255,"R",3118,"R",3032,"R",3451,"R",9353,"R",2602,"R",2591,"R",5300,"R",7192,"12.0409","R",6968,"R",1932,"R",600,1,"R",4,"12.0402","R",9768,"R",2800,"R",900,1,"R",6,"12.0410","R",4768,"R",1525,"R",400,1,"R",4,"12.0413","R",4718,"R",682,"R",1000,1,"R",12,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
142416,2,"12.0401","A",.,"A",.,"R",1600,1,"R",13,"R",50,"R",1000,"R",33,"R",14605,"R",14605,"R",14605,"R",14605,"R",680,"R",680,"R",680,"R",680,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11750,"R",12500,"R",12500,"R",13750,"R",1088,"R",1088,"R",1088,"R",1088,"R",938,"R",938,"R",938,"R",938,"12.0413","R",7000,"R",245,"R",1000,1,"R",8,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
142489,4,"12.0401","A",.,"A",.,"R",1600,1,"R",13,"R",52,"R",900,"R",26,"R",13325,"R",13325,"R",14000,"R",14000,"R",2100,"R",2100,"R",2475,"R",2475,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",19500,"R",19500,"R",19500,"R",19500,"R",3250,"R",3250,"R",3250,"R",3250,"R",3250,"R",3250,"R",3250,"R",3250,"12.0409","R",7500,"R",900,"R",600,1,"R",5,"12.0413","R",5000,"R",1000,"R",1000,1,"R",9,"12.0410","R",3000,"R",900,"R",400,1,"R",4,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
143181,2,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",975,"R",26,"R",16800,"R",16800,"R",17800,"R",17800,"R",3120,"R",3120,"R",3120,"R",3120,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9050,"R",9513,"R",9888,"R",10175,"R",8025,"R",8450,"R",9125,"R",9388,"R",8025,"R",8450,"R",9125,"R",9388,"12.0409","R",13684,"R",2220,"R",750,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
143303,1,"51.0907","R",4530,"A",.,"R",70,2,"R",24,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
143376,4,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",19480,"R",20265,"R",21202,"R",21212,"R",2165,"R",3165,"R",3507,"R",3507,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10838,"R",15325,"R",14188,"R",17113,"R",4000,"R",8938,"R",7425,"R",7163,"R",3688,"R",3100,"R",5450,"R",4050,"12.0409","R",13653,"R",3339,"R",750,1,"R",7,"12.0402","R",21696,"R",1964,"R",1500,1,"R",13,"12.0413","R",8273,"R",230,"R",1000,1,"R",9,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
143464,2,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",17425,"R",17425,"R",17985,"R",17985,"R",2300,"R",2300,"R",2480,"R",2480,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",17625,"R",19775,"R",18863,"R",21300,"R",6625,"R",6838,"R",9000,"R",10813,"R",5950,"R",6188,"R",4350,"R",4725,"12.0413","R",11990,"R",500,"R",1000,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
143473,1,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",29,"R",11040,"R",11340,"R",11340,"R",14110,"R",980,"R",980,"R",980,"R",980,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8166,"R",8331,"R",8331,"R",8801,"R",1680,"R",1727,"R",1727,"R",1962,"R",1680,"R",1727,"R",1727,"R",1962,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
143482,1,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",29,"R",13810,"R",13810,"R",14110,"R",14110,"R",980,"R",980,"R",980,"R",980,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8166,"R",8166,"R",8331,"R",8331,"R",1680,"R",1680,"R",1727,"R",1727,"R",1680,"R",1680,"R",1727,"R",1727,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
143491,1,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",29,"R",11040,"R",11340,"R",11340,"R",14110,"R",980,"R",980,"R",980,"R",980,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8166,"R",8331,"R",8331,"R",9988,"R",1680,"R",1727,"R",1727,"R",1962,"R",1680,"R",1727,"R",1727,"R",1962,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
143543,3,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",19260,"R",19260,"R",19260,"R",19260,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8310,"R",8740,"R",8912,"R",9170,"R",7375,"R",7751,"R",8224,"R",8460,"R",7375,"R",7751,"R",8224,"R",8460,"12.0413","R",12500,"R",499,"R",1000,1,"R",8,"12.0413","R",7500,"R",499,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
143552,3,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",18250,"R",18250,"R",18550,"R",19000,"R",1800,"R",1800,"R",1990,"R",2090,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16225,"R",16550,"R",17400,"R",17400,"R",7725,"R",9275,"R",6213,"R",7825,"R",3150,"R",2975,"R",5463,"R",6400,"12.0413","R",12050,"R",177,"R",1000,1,"R",8,"12.0413","R",5275,"R",177,"R",500,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
144485,6,"46.0302","A",.,"A",.,"R",49,2,"R",11,"R",42,"R",36,"R",42,"R",16195,"R",16641,"R",16641,"R",16641,"R",652,"R",652,"R",652,"R",652,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8978,"R",8978,"R",8978,"R",8978,"R",3917,"R",3917,"R",3917,"R",3917,"R",3917,"R",3917,"R",3917,"R",3917,"51.0801","R",20848,"R",1243,"R",66,2,"R",13,"46.0302","R",16772,"R",1735,"R",49,2,"R",14,"47.0201","R",16641,"R",462,"R",49,2,"R",11,"47.0201","R",16772,"R",462,"R",49,2,"R",14,"51.0805","R",16221,"R",940,"R",51,2,"R",11,
144573,1,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",975,"R",26,"R",16800,"R",16800,"R",16800,"R",17800,"R",3120,"R",3120,"R",3120,"R",3120,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9050,"R",9513,"R",9888,"R",10175,"R",8025,"R",8450,"R",9125,"R",9388,"R",8025,"R",8450,"R",9125,"R",9388,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
144795,4,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",45,"R",900,"R",26,"R",18000,"R",20000,"R",20000,"R",21000,"R",1000,"R",1000,"R",1200,"R",1500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10463,"R",10463,"R",10463,"R",10463,"R",5468,"R",5468,"R",5468,"R",5468,"R",5468,"R",5468,"R",5468,"R",5468,"12.0402","R",21000,"R",1500,"R",1500,1,"R",12,"12.0402","R",15000,"R",1500,"R",1500,1,"R",12,"12.0409","R",13000,"R",1400,"R",750,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
145099,3,"51.0801","A",.,"A",.,"R",38,2,"R",13,"R",53,"R",38,"R",52,"R",15375,"R",16375,"R",16375,"R",16375,"R",600,"R",600,"R",600,"R",600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8944,"R",8944,"R",8944,"R",8944,"R",1789,"R",1789,"R",1789,"R",1789,"R",1789,"R",1590,"R",1590,"R",1590,"51.0601","R",16625,"R",350,"R",36,2,"R",12,"51.3501","R",13400,"R",400,"R",792,1,"R",10,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
145309,5,"12.0401","A",.,"A",.,"R",1500,1,"R",10,"R",39,"R",900,"R",30,"R",15925,"R",17275,"R",17275,"R",17275,"R",1400,"R",1600,"R",1600,"R",1600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8161,"R",8268,"R",8336,"R",8336,"R",2438,"R",2438,"R",2438,"R",2477,"R",2438,"R",2438,"R",2438,"R",2438,"47.0408","R",24250,"R",4180,"R",63,2,"R",14,"47.0408","R",8150,"R",1675,"R",21,2,"R",5,"47.0408","R",16375,"R",3361,"R",45,2,"R",9,"12.0413","R",11225,"R",275,"R",1000,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
145406,10,"12.0409","A",.,"A",.,"R",600,1,"R",5,"R",20,"R",900,"R",30,"R",13143,"R",14567,"R",14734,"R",13900,"R",433,"R",433,"R",800,"R",800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5405,"R",7545,"R",5790,"R",5895,"R",4795,"R",6295,"R",5340,"R",5440,"R",3360,"R",2890,"R",2935,"R",3715,"12.0409","R",14734,"R",800,"R",900,1,"R",8,"12.0401","R",19702,"R",2400,"R",1600,1,"R",13,"12.0409","R",15600,"R",800,"R",750,1,"R",6,"12.0410","R",9146,"R",600,"R",600,1,"R",5,"12.0401","R",19900,"R",2900,"R",1500,1,"R",12,
145424,5,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",16950,"R",17550,"R",17550,"R",17550,"R",2000,"R",2800,"R",2800,"R",3100,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13875,"R",18688,"R",19538,"R",18175,"R",7375,"R",10113,"R",10563,"R",7463,"R",5463,"R",6375,"R",6663,"R",6113,"12.0409","R",11580,"R",1100,"R",750,1,"R",6,"12.0413","R",9850,"R",1100,"R",1000,1,"R",8,"12.0413","R",6750,"R",1100,"R",750,1,"R",6,"12.0410","R",3450,"R",400,"R",350,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
145433,5,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",18450,"R",19350,"R",20162,"R",20162,"R",2500,"R",2800,"R",3100,"R",3100,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",22238,"R",20213,"R",21125,"R",19263,"R",8075,"R",8063,"R",8425,"R",8288,"R",6938,"R",6750,"R",6513,"R",5088,"12.0409","R",12219,"R",1100,"R",750,1,"R",6,"12.0413","R",9850,"R",1100,"R",1000,1,"R",8,"12.0413","R",9850,"R",1100,"R",500,1,"R",4,"12.0413","R",6750,"R",1100,"R",750,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
146454,3,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",16775,"R",16775,"R",17775,"R",17775,"R",2200,"R",2200,"R",2700,"R",2700,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9475,"R",9475,"R",9475,"R",9475,"R",2500,"R",2500,"R",2500,"R",2500,"R",3000,"R",3000,"R",3000,"R",3000,"12.0410","R",3700,"R",700,"R",350,1,"R",7,"12.0413","R",15000,"R",263,"R",1000,1,"R",12,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
146700,8,"47.0604","A",.,"A",.,"R",76,2,"R",19,"R",74,"R",24,"R",32,"R",34137,"R",36243,"R",37974,"R",38143,"R",1400,"R",1499,"R",1559,"R",1614,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",21442,"R",21941,"R",22293,"R",38850,"R",11859,"R",12136,"R",12340,"R",22459,"R",8270,"R",8473,"R",8140,"R",8529,"51.0801","R",19900,"R",752,"R",34,2,"R",10,"46.0302","R",33827,"R",1704,"R",62,2,"R",19,"47.0603","R",23910,"R",1614,"R",42,2,"R",14,"48.0508","R",23020,"R",1015,"R",37,2,"R",11,"47.0604","R",32423,"R",1614,"R",60,2,"R",14,
146807,2,"12.0401","A",.,"A",.,"R",1500,1,"R",15,"R",60,"R",900,"R",45,"R",15000,"R",17250,"R",17250,"R",17250,"R",1600,"R",600,"R",600,"R",600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9000,"R",9000,"R",9000,"R",9000,"R",4875,"R",4875,"R",4875,"R",4875,"R",4875,"R",4875,"R",4875,"R",4875,"12.0413","R",10500,"R",400,"R",1000,1,"R",10,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
147642,2,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",29,"R",9600,"R",9600,"R",9600,"R",11980,"R",1300,"R",1300,"R",1300,"R",2200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6392,"R",6392,"R",6392,"R",12784,"R",1457,"R",1457,"R",1457,"R",5828,"R",1457,"R",1457,"R",1457,"R",5828,"12.0413","R",5478,"R",502,"R",1000,1,"R",8,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
147819,1,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",15450,"R",15900,"R",16350,"R",16350,"R",2048,"R",2084,"R",2084,"R",2084,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3900,"R",6250,"R",6250,"R",6250,"R",3750,"R",3125,"R",3125,"R",3125,"R",3750,"R",2500,"R",2500,"R",2500,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
148098,2,"12.0499","A",.,"A",.,"R",1500,1,"R",11,"R",44,"R",1040,"R",26,"R",17100,"R",18000,"R",18000,"R",18000,"R",1300,"R",1414,"R",1414,"R",1414,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10450,"R",10450,"R",10450,"R",10450,"R",2750,"R",2750,"R",2750,"R",2750,"R",2750,"R",2750,"R",2750,"R",2750,"12.0413","R",12000,"R",925,"R",1000,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
