University of California &#8212; Los Angeles (Los Angeles, CA): African Languages; African/Middle Eastern Studies; Afro-American Studies; Middle Eastern/North African Studies
University of California, Berkeley (Berkeley, CA): African American Studies
University of California, Davis (Davis, CA): African American/African Studies
University of California, Irvine (Irvine, CA): African American Studies
University of California, Riverside (Riverside, CA): African American Studies
University of California, Santa Barbara (Santa Barbara, CA): Black Studies
University of Central Arkansas (Conway, AR): African/African American Studies
University of Cincinnati (Cincinnati, OH): African American Studies; Africana Studies
University of Delaware (Newark, DE): Africana Studies
University of Florida (Gainesville, FL): African American Studies
University of Georgia (Athens, GA): African American Studies
University of Houston (Houston, TX): African American Studies
University of Illinois at Chicago (Chicago, IL): African American Studies
University of Illinois at Urbana&#8211;Champaign (Champaign, IL): African American Studies
University of Iowa (Iowa City, IA): African American World Studies
University of Louisville (Louisville, KY): Pan African Studies
University of Maryland &#8212; Baltimore County (Baltimore, MD): Africana Studies
University of Maryland, College Park (College Park, MD): African American Studies
University of Massachusetts Amherst (Amherst, MA): Afro-American Studies
University of Massachusetts Boston (Boston, MA): Africana Studies
University of Memphis (Memphis, TN): African/African American Studies
University of Miami (Coral Gables, FL): Africana Studies
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI): Middle Eastern/North African Studies; African/African American Studies
University of Michigan &#8212; Flint (Flint, MI): Africana Studies
University of Minnesota &#8212; Twin Cities (Minneapolis, MN): African American/African Studies
University of Mississippi (University, MS): African American Studies
University of Montana (Missoula, MT): African American Studies
University of Nebraska &#8212; Omaha (Omaha, NE): Black Studies
University of Nevada, Las Vegas (Las Vegas, NV): African American Studies
University of North Carolina at Chapel Hill (Chapel Hill, NC): African/African American/Diaspora Studies
University of North Carolina at Charlotte (Charlotte, NC): Africana Studies
University of North Carolina at Greensboro (Greensboro, NC): African American Studies
University of Northern Colorado (Greeley, CO): Africana Studies
University of Notre Dame (Notre Dame, IN): Africana Studies
University of Pennsylvania (Philadelphia, PA): Africana Studies
University of Pittsburgh (Pittsburgh, PA): Africana Studies; Africana Studies/English
University of Puget Sound (Tacoma, WA): African American Studies
University of Rhode Island (Kingston, RI): African/African American Studies
University of Rochester (Rochester, NY): African/African American Studies
University of South Carolina &#8212; Columbia (Columbia, SC): African American Studies
University of South Florida (Tampa, FL): Africana Studies
University of Southern California (Los Angeles, CA): African American Studies
University of Toledo (Toledo, OH): Africana Studies
University of Toronto (Toronto, Ontario, CN): African Studies
University of Virginia (Charlottesville, VA): African American/African Studies
University of Washington, Seattle (Seattle, WA): Afro-American Studies
University of Wisconsin &#8212; Madison (Madison, WI): African Cultural Studies; Afro-American Studies
University of Wyoming (Laramie, WY): African American Diaspora Studies
Vanderbilt University (Nashville, TN): African American/Diaspora Studies
Vassar College (Poughkeepsie, NY): Africana Studies
Virginia Commonwealth University (Richmond, VA): African American Studies
Washington University in St. Louis (St. Louis, MO): African/African American Studies
Wayne State University (Detroit, MI): Africana Studies
Wellesley College (Wellesley, MA): Africana Studies
Wesleyan University (Middletown, CT): African American Studies
Western Michigan University (Kalamazoo, MI): Africana Studies
Wheaton College (Norton, MA): African American/Diaspora Studies
William Paterson University of New Jersey (Wayne, NJ): African World Studies
Winston&#8211;Salem State University (Winston-Salem, NC): African/African American Studies
Wright State University (Dayton, OH): African/African American Studies
Yale University (New Haven, CT): African Studies; African American Studies
York University (Toronto, Ontario, CN): African Studies
